STORE,ZONE_ID,NAME,CURRENCY_CODE
3436,5,UK National,GBP
3437,5,UK National,GBP
3439,5,UK National,GBP
3440,5,UK National,GBP
3444,5,UK National,GBP
3468,5,UK National,GBP
3470,5,UK National,GBP
3480,5,UK National,GBP
3488,5,UK National,GBP
3489,5,UK National,GBP
3491,5,UK National,GBP
3493,5,UK National,GBP
3495,5,UK National,GBP
3537,5,UK National,GBP
3541,5,UK National,GBP
3590,5,UK National,GBP
3592,5,UK National,GBP
3604,5,UK National,GBP
3605,5,UK National,GBP
3606,5,UK National,GBP
3607,5,UK National,GBP
3616,5,UK National,GBP
3629,5,UK National,GBP
3642,5,UK National,GBP
3645,5,UK National,GBP
3648,5,UK National,GBP
3652,5,UK National,GBP
3700,5,UK National,GBP
3702,5,UK National,GBP
3703,5,UK National,GBP
3704,5,UK National,GBP
3705,5,UK National,GBP
3706,5,UK National,GBP
3707,5,UK National,GBP
3708,5,UK National,GBP
3709,5,UK National,GBP
3710,5,UK National,GBP
3711,5,UK National,GBP
3712,5,UK National,GBP
3713,5,UK National,GBP
3714,5,UK National,GBP
3715,5,UK National,GBP
3716,5,UK National,GBP
3717,5,UK National,GBP
3718,5,UK National,GBP
3719,5,UK National,GBP
3720,5,UK National,GBP
3721,5,UK National,GBP
3722,5,UK National,GBP
3723,5,UK National,GBP
3724,5,UK National,GBP
3725,5,UK National,GBP
3726,5,UK National,GBP
3727,5,UK National,GBP
3728,5,UK National,GBP
3729,5,UK National,GBP
3730,5,UK National,GBP
3731,5,UK National,GBP
3732,5,UK National,GBP
3733,5,UK National,GBP
3734,5,UK National,GBP
3735,5,UK National,GBP
3736,5,UK National,GBP
3737,5,UK National,GBP
3738,5,UK National,GBP
3739,5,UK National,GBP
3740,5,UK National,GBP
3741,5,UK National,GBP
3744,5,UK National,GBP
3745,5,UK National,GBP
3746,5,UK National,GBP
3747,5,UK National,GBP
3748,5,UK National,GBP
3749,5,UK National,GBP
3750,5,UK National,GBP
3751,5,UK National,GBP
3752,5,UK National,GBP
3754,5,UK National,GBP
